warehouse,city,day,shipped_qty,unmet_demand
W1,Mumbai,1,61.2,18.671667
W1,Mumbai,2,61.2,18.671667
W1,Mumbai,3,61.2,18.671667
W1,Mumbai,4,61.2,18.671667
W1,Mumbai,5,61.2,18.671667
W1,Mumbai,6,61.2,18.671667
W1,Mumbai,7,61.2,18.671667
W1,Mumbai,8,61.2,24.843096
W1,Mumbai,9,61.2,26.557382
W1,Mumbai,10,61.2,27.92881
W1,Mumbai,11,61.2,28.957382
W1,Mumbai,12,61.2,29.471667
W1,Mumbai,13,61.2,29.643096
W1,Mumbai,14,61.2,29.471667
W1,Mumbai,15,61.2,28.785953
W1,Mumbai,16,61.2,27.585953
W1,Mumbai,17,61.2,26.043096
W1,Mumbai,18,61.2,24.157382
W1,Mumbai,19,61.2,22.100239
W1,Mumbai,20,61.2,20.043096
W1,Mumbai,21,61.2,17.814525
W1,Mumbai,22,61.2,15.585953
W1,Mumbai,23,61.2,13.52881
W1,Mumbai,24,61.2,11.643096
W1,Mumbai,25,61.2,10.100239
W1,Mumbai,26,61.2,8.9002389
W1,Mumbai,27,61.2,7.8716675
W1,Mumbai,28,61.2,7.3573818
W1,Mumbai,29,61.2,7.3573818
W1,Mumbai,30,61.2,7.8716675
W1,Pune,1,0.0,55.772099
W1,Pune,2,0.0,55.772099
W1,Pune,3,0.0,55.772099
W1,Pune,4,0.0,55.772099
W1,Pune,5,0.0,55.772099
W1,Pune,6,0.0,55.772099
W1,Pune,7,0.0,55.772099
W1,Pune,8,0.0,65.474243
W1,Pune,9,0.0,66.731386
W1,Pune,10,0.0,67.674243
W1,Pune,11,0.0,68.459958
W1,Pune,12,0.0,68.774243
W1,Pune,13,0.0,68.774243
W1,Pune,14,0.0,68.459958
W1,Pune,15,0.0,67.988529
W1,Pune,16,0.0,67.202815
W1,Pune,17,0.0,66.102815
W1,Pune,18,0.0,64.845672
W1,Pune,19,0.0,61.917813
W1,Pune,20,0.0,58.203528
W1,Pune,21,0.0,54.489242
W1,Pune,22,0.0,50.774956
W1,Pune,23,0.0,47.203528
W1,Pune,24,0.0,43.932099
W1,Pune,25,0.0,41.103528
W1,Pune,26,0.0,38.874956
W1,Pune,27,0.0,37.246385
W1,Pune,28,0.0,36.360671
W1,Pune,29,0.0,36.360671
W1,Pune,30,0.0,36.960671
W1,Delhi,1,0.0,81.006544
W1,Delhi,2,0.0,81.006544
